Jahr,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen,Deutschland
1986,1661.9,1661.9,1564.1,1600.9,1437.1,1667.8,1514.6,1515.8,1511.1,1479.5,1538.8,1502.3,1561.5,1542.1,1507.3,1463.5,1555.3
1987,1491.9,1492.3,1438.7,1379.8,1314.6,1489.7,1294.0,1294.9,1288.3,1366.7,1328.8,1408.9,1357.0,1361.9,1341.3,1315.5,1370.7
1988,1620.9,1620.8,1491.3,1485.2,1360.7,1575.3,1342.5,1342.7,1303.6,1405.5,1409.9,1504.8,1508.1,1500.9,1464.6,1419.0,1451.0
1989,1907.6,1907.4,1755.6,1609.0,1630.3,1882.8,1697.0,1697.0,1723.3,1705.7,1710.6,1812.5,1809.3,1836.7,1789.6,1730.3,1731.7
1990,1798.3,1798.9,1789.4,1756.0,1590.3,1714.3,1578.7,1578.1,1600.9,1668.3,1591.4,1794.5,1805.0,1703.8,1649.5,1581.1,1691.5
1991,1783.2,1781.8,1742.6,1670.5,1606.0,1743.9,1605.7,1606.2,1589.3,1685.7,1665.0,1823.7,1728.3,1731.8,1693.4,1645.0,1679.1
1992,1792.4,1791.9,1605.0,1572.9,1531.2,1843.9,1562.8,1563.9,1540.7,1536.5,1675.4,1616.6,1727.4,1702.2,1637.7,1556.6,1623.3
1993,1574.7,1574.2,1591.3,1604.0,1529.8,1546.6,1427.1,1427.0,1488.6,1513.2,1459.0,1545.0,1642.5,1541.5,1523.1,1499.9,1539.1
1994,1707.4,1705.2,1576.5,1645.4,1545.4,1739.9,1559.3,1560.1,1509.2,1552.4,1672.0,1538.9,1645.1,1677.7,1618.0,1542.9,1612.0
1995,1752.0,1750.7,1525.8,1479.5,1508.5,1815.0,1665.1,1667.0,1563.2,1526.6,1815.7,1571.0,1600.3,1687.5,1598.5,1486.4,1600.8
1996,1511.4,1510.2,1612.0,1523.1,1461.5,1586.1,1468.3,1469.6,1462.2,1524.1,1589.6,1571.9,1427.0,1425.4,1394.4,1355.4,1503.6
1997,1803.6,1802.6,1789.7,1733.4,1662.2,1785.3,1662.3,1662.3,1643.7,1711.2,1745.3,1811.3,1728.6,1746.4,1693.0,1625.8,1721.7
1998,1491.2,1491.0,1615.8,1559.5,1338.8,1432.0,1287.9,1288.3,1268.8,1386.2,1379.3,1445.3,1510.5,1441.7,1411.9,1374.5,1437.9
1999,1742.6,1741.4,1597.0,1587.3,1569.0,1751.0,1627.2,1628.2,1593.7,1587.2,1729.1,1634.5,1595.4,1664.7,1604.7,1529.3,1626.0
2000,1647.4,1646.0,1669.0,1618.2,1437.4,1572.3,1421.9,1422.2,1415.1,1473.0,1472.2,1532.7,1610.2,1609.1,1568.6,1517.8,1546.0
2001,1502.5,1502.2,1651.1,1608.2,1446.4,1522.6,1411.2,1411.4,1444.3,1523.8,1500.0,1584.9,1464.1,1472.9,1456.4,1435.7,1513.7
2002,1595.2,1594.0,1628.2,1631.9,1416.4,1583.4,1449.2,1450.3,1430.1,1467.0,1548.7,1537.1,1530.0,1508.3,1469.4,1420.5,1533.2
2003,2033.1,2031.4,2108.2,2064.8,2006.0,1992.8,1913.0,1913.3,1974.2,2052.5,1948.1,2120.1,2031.2,2011.1,1981.8,1945.0,2013.7
2004,1634.6,1633.8,1658.4,1648.9,1519.2,1632.4,1513.5,1513.8,1498.8,1588.0,1584.2,1618.7,1589.2,1584.9,1567.4,1545.3,1589.4
2005,1858.9,1858.5,1749.9,1729.0,1666.3,1859.6,1674.4,1676.1,1647.4,1710.6,1823.6,1743.3,1798.6,1791.5,1763.2,1727.5,1742.5
2006,1862.8,1862.1,1838.1,1832.3,1708.1,1785.5,1661.9,1661.4,1664.7,1723.8,1676.5,1719.6,1855.6,1828.5,1807.9,1782.0,1770.8
2007,1724.6,1724.2,1851.2,1824.5,1613.0,1657.7,1537.0,1537.3,1527.9,1700.4,1652.9,1750.4,1714.5,1689.9,1666.2,1636.3,1691.5
2008,1671.0,1670.4,1692.2,1709.1,1504.3,1749.3,1597.5,1598.2,1516.3,1525.9,1708.8,1527.9,1614.8,1659.2,1610.6,1549.4,1634.9
2009,1781.4,1781.0,1729.8,1683.8,1565.4,1817.3,1681.4,1682.6,1597.6,1641.1,1791.5,1711.5,1644.9,1707.8,1636.6,1547.2,1685.8
2010,1574.0,1574.8,1581.7,1543.4,1497.0,1577.2,1513.5,1514.3,1468.9,1553.8,1578.8,1592.9,1559.5,1534.5,1509.2,1477.5,1538.2
2011,1952.1,1952.1,1983.2,1928.1,1795.0,1806.3,1670.0,1669.3,1738.1,1821.9,1649.9,1835.6,1987.4,1897.6,1889.7,1879.8,1847.4
2012,1750.2,1750.4,1832.2,1790.8,1612.1,1658.6,1508.5,1508.3,1500.1,1672.5,1555.6,1729.3,1759.6,1668.0,1652.8,1633.8,1673.5
2013,1583.3,1584.4,1532.9,1502.3,1408.2,1701.9,1483.6,1485.1,1416.3,1470.0,1623.2,1488.0,1481.3,1518.2,1464.3,1394.0,1507.6
2014,1734.0,1733.8,1666.7,1613.0,1494.2,1736.0,1573.7,1575.5,1536.2,1581.0,1692.2,1598.7,1662.2,1648.3,1607.0,1553.2,1620.9
2015,1848.5,1848.2,1861.6,1783.6,1652.8,1746.1,1627.0,1627.1,1660.7,1693.2,1637.8,1677.8,1854.8,1787.0,1755.6,1714.7,1742.6
2016,1718.1,1717.9,1644.9,1617.2,1483.0,1696.7,1574.3,1574.1,1564.0,1500.6,1573.2,1483.7,1641.8,1675.6,1622.2,1552.4,1607.4
2017,1593.4,1593.4,1814.6,1749.2,1515.4,1531.7,1425.0,1426.0,1458.6,1643.9,1499.0,1688.6,1609.9,1541.8,1527.4,1508.4,1596.1
2018,2152.6,2152.0,2021.2,2026.0,1954.9,2107.8,1960.4,1960.8,1941.6,1994.2,1947.6,2044.7,2030.6,2085.5,2021.7,1938.5,2015.4
2019,1926.0,1925.7,1932.5,1904.9,1782.4,1804.9,1710.1,1709.8,1717.0,1851.3,1676.5,1922.7,1930.6,1882.4,1847.1,1801.1,1834.2
2020,1920.5,1919.9,2050.0,1967.5,1841.9,1874.2,1778.9,1780.0,1802.7,1911.6,1850.2,1960.2,1902.5,1899.2,1872.7,1838.2,1896.0
2021,1638.4,1637.9,1805.2,1779.2,1553.2,1617.1,1467.3,1468.0,1508.4,1681.6,1554.9,1748.0,1616.9,1578.1,1554.3,1523.3,1631.2
2022,2018.4,2017.7,2176.3,2055.3,2002.7,1994.0,1944.8,1945.3,1984.0,2095.7,1933.9,2138.0,2002.6,2011.5,1993.1,1969.1,2024.1
